Source,Listed Name,Name edited to match name in ARM,Edit made to name,Name in ARM,WRA Risk Result,% Major Invader,% Minor Invader,% Non-Invader Invader,% Suitable Reported,Qualitative Rating,Justification for Qualitative Rating,Blank,Taxon Unit Type,Pest Notes,Taxonomy Kingdom,Taxonomy Division,Taxonomy Phylum,Taxonomy Class,Taxonomy Subclass,Taxonomy Superorder,Taxonomy Order,Taxonomy Family,Taxonomy Genus,Taxonomy Species,Taxonomy Subspecies,Author
FNW List from PPRA Weed Team Tracking Log (11/15/24),Acacia nilotica,Vachellia nilotica,changed to current name,Vachellia nilotica,,,,,,High,SME High rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Fabales,Fabaceae,Vachellia,nilotica,0,(L.) P. J. H. Hurter & Mabb.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Aeginetia spp.,Aeginetia,remove spp.,Aeginetia,Moderate,12.7,70.1,17.2,0,N/A,,,Genus,FNW Genus. Parasitic Genus,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Aeginetia,0,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Ageratina adenophora ,Ageratina adenophora,,Ageratina adenophora,High,96.9,3,0.1,3,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Ageratina,adenophora,0,(Spreng) R.M. King & H. Robinson
FNW List from PPRA Weed Team Tracking Log (11/15/24),Ageratina riparia,Ageratina riparia,,Ageratina riparia,High,96.4,3.5,0.1,3,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Ageratina,riparia,0,(Regel) R.M. King & H. Robinson
FNW List from PPRA Weed Team Tracking Log (11/15/24),Alectra spp.,Alectra,remove spp.,Alectra,High,75.8,23.3,1,0.6,N/A,,,Genus,FNW Genus. Parasitic Genus,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Lamiales,Orobanchaceae,Alectra,0,0,Thunb.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Alternanthera sessilis,Alternanthera sessilis,,Alternanthera sessilis,High,90,9.6,0.3,10,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Caryophyllales,Amaranthaceae,Alternanthera,sessilis,0,(L.) DC.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Arctotheca calendula,Arctotheca calendula,,Arctotheca calendula,High,98.3,1.7,0.1,4,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Arctotheca,calendula,0,(L.) Levyns
FNW List from PPRA Weed Team Tracking Log (11/15/24),Asphodelus fistulosus,Asphodelus fistulosus,,Asphodelus fistulosus,High,90.2,9.5,0.3,10,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Asparagales,Asphodelaceae,Asphodelus,fistulosus,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Avena sterilis,Avena sterilis,,Avena sterilis,High,72.4,26.5,1.1,1,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Avena,sterilis,0,L.
FNW List from PPRA Weed Team Tracking Log (11/15/24),Azolla pinnata,Azolla pinnata,,Azolla pinnata,,,,,,High,SME High rating,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Polypodiopsida,0,0,Salviniales,Salviniaceae,Azolla,pinnata,0,R. Brown
FNW List from PPRA Weed Team Tracking Log (11/15/24),Carthamus oxyacantha,Carthamus oxyacantha,,Carthamus oxyacantha,Moderate,28.4,64.5,7.1,0,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Magnoliopsida,0,0,Asterales,Asteraceae,Carthamus,oxyacantha,0,M. Bieberstein
FNW List from PPRA Weed Team Tracking Log (11/15/24),Caulerpa taxifolia (Mediterranean strain),Caulerpa taxifolia,remove strain/variety,Caulerpa taxifolia,,,,,,High,SME High rating,,Species,Federal Noxious Weed,Plantae,Chlorophyta,0,Ulvophyceae,0,0,Bryopsidales,Caulerpaceae,Caulerpa,taxifolia,0,(Vahl) C. Agardh
FNW List from PPRA Weed Team Tracking Log (11/15/24),Chrysopogon aciculatus,Chrysopogon aciculatus,,Chrysopogon aciculatus,High,89.5,10.1,0.4,N/A,N/A,,,Species,Federal Noxious Weed,Plantae,Tracheophyta,0,Liliopsida,0,0,Poales,Poaceae,Chrysopogon,aciculatus,0,(Retzius) Trinius
