Source,Qualitative Impact Rating,Pest Scientific Name,Pest Common Name,Pest Type,Kingdom,Phylum/Div.,Class,Order,Family,Genus,Species,Subspecies,Authority
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Acizzia acaciaebaileyanae,,Arthropod,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,Acizzia,acaciaebaileyanae,,(Froggatt)
PPQ Program Pest (as of 11/6/24),High,Agrilus planipennis,Emerald Ash Borer,Arthropod,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,planipennis,,Fairmaire
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Aleurocanthus woglumi,,Arthropod,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,Aleurocanthus,woglumi,,Ashby
PPQ Program Pest (as of 11/6/24),High,Anastrepha,,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Anastrepha,,,"Schiner, 1868"
PPQ Program Pest (as of 11/6/24),High,Anastrepha ludens,Mexican fruit fly,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Anastrepha,ludens,,(Loew)
PPQ Program Pest (as of 11/6/24),High,Anoplophora glabripennis,Asian longhorned beetle (ALB),Arthropod,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,glabripennis,,(Motschulsky)
PPQ Program Pest (as of 11/6/24),High,Anthonomus grandis,Boll weevil,Arthropod,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Anthonomus,grandis,,(Boheman)
PPQ Program Pest (as of 11/6/24),High,Bactrocera,,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Bactrocera,,,"Macquart, 1835"
PPQ Program Pest (as of 11/6/24),High,Bactrocera dorsalis,oriental fruit fly,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Bactrocera,dorsalis,,(Hendel)
CAPS National Priority Mollusk List (as of 10/2/24),High,Belocaulus,Leatherleaf slugs,Mollusk,Animalia,Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,,,"Hoffmann, 1925"
PPQ Program Pest (as of 11/6/24),High,Cactoblastis cactorum,South American Cactus Moth,Arthropod,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Cactoblastis,cactorum,,(Berg)
PPQ Program Pest (as of 11/6/24),High,Candidatus Liberibacter asiaticus,Citrus Greening/Huanglongbing (HLB),Plant Disease,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Candidatus Liberibacter,asiaticus,,Jagoueix et al.
PPQ Program Pest (as of 11/6/24),High,Ceratitis,,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Ceratitis,,,"Macleay, 1829"
PPQ Program Pest (as of 11/6/24),High,Ceratitis capitata,Mediterranean fruit fly,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Ceratitis,capitata,,(Wiedemann)
CAPS National Priority Mollusk List (as of 10/2/24),High,Cernuella,Hygromiid snails,Mollusk,Animalia,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Cernuella,,,"Schlüter, 1838"
CAPS National Priority Mollusk List (as of 10/2/24),High,Cernuella virgata,Maritime garden snail,Mollusk,Animalia,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Cernuella,virgata,,de Costa
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Ceroplastes rubens,,Arthropod,Animalia,Arthropoda,Insecta,Hemiptera,Coccidae,Ceroplastes,rubens,,Maskell
CAPS National Priority Mollusk List (as of 10/2/24),High,Cochlicella,Cochlicellid snails,Mollusk,Animalia,Mollusca,Gastropoda,Stylommatophora,Hygromiidae,Cochlicella,,,"A. Férussac, 1821"
CAPS National Priority Mollusk List (as of 10/2/24),High,Colosius,Leatherleaf slugs,Mollusk,Animalia,Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Colosius,,,"Thomé, 1975"
USDA PPQ Select Agents,High,Coniothyrium glycines,,Plant Disease,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Coniothyrium,glycines,,(R.B. Stewart) Verkley & Gruyter
OPEP Non-Candidate Low Impact Pest (determined 11/14/24),Low,Contarinia maculipennis,,Arthropod,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,Contarinia,maculipennis,,Felt
