CAPS categ.,Risk Group,Scientific name,Common Name,Model,Predicted pest impact in US,Prob pest will cause high impacts,Prob pest will cause mod impacts,Prob pest will cause low impacts,Primary host(s),"Other important hosts (alternate, secondary, etc)",States at risk,Non-plant impacts?,Date completed
CATEGORY 1,Predicted to be a HIGH impact pest in the United States (low uncertainty),,,,,,,,,,,,
,A,Anoplophora chinensis,Citrus longhorned beetle,Arthropod,High,81.3%,16.2%,2.4%,"Citrus, elm, maple","Polyphagous, feeding on host species in upwards of 35 different plant families",All states,no,4/11/2018
,A,Blackcurrant Reversion Virus,BRV,Pathogen,High,74.0%,24.0%,2.0%,,,,No,8/1/2022
,A,Bursaphelenchus cocophilus,red ring nematode,Arthropod,High,89.2%,10.1%,0.7%,"palm trees (date palm, oil palm, coconut palm)",,"Florida, Georgia, Hawaii, North Carolina, Arizona, California, Massachusetts, Maryland, Nevada",no,3/20/2018
,A,Candidatus Phytoplasma aurantifolia',Witches’ Broom Disease of Lime,Pathogen,High,88.0%,11.0%,1.0%,Mexican lime,grapefruit,"Florida, Texas, California",No,7/24/2020
,A,Candidatus Phytoplasma australiense',Australian grapevine yellows,Pathogen,High,69.8%,27.6%,2.6%,grape; papaya,"polyphagous - other important hosts include potato, celery, pumpkin, strawberry, and boysenberry, cucumbers, alfalfa, raspberry, many others","All states, particularly California, Michigan, New York, Oregon, Pennsylvania, and Washington",No,9/30/2015
,A,Candidatus Phytoplasma palmae',Palm lethal yellowing phytoplasma,Pathogen,High,95.1%,4.5%,0.3%,palms,,"Florida, Georgia, South Carolina, North Carolina, Hawaii, Puerto Rico, Guam, American Samoa, US Virgin Islands, Arizona, California, Texas, Alabama, Washington, Oregon, Tennessee, Mississippi, Louisiana, New Mexico, Virginia",No,9/12/2018
,A,Candidatus Phytoplasma phoenicium',Almond witches' broom,Pathogen,High,87.1%,12.0%,0.9%,stone fruit,"reservoir: Anthemis sp., Smilax aspera",All states,No,9/30/2015
,A,Candidatus Phytoplasma prunorum',European stone fruit yellows,Pathogen,High,82.8%,15.9%,1.2%,"Prunus species (apricot, plum, peach, almond)",,Most states,no,3/21/2018
,A,Candidatus Phytoplasma vitis',Flavescence dorée,Pathogen,High,88.5%,10.7%,0.8%,grape ,"reservoir: Alnus glutinosa, Alnus incana, and Clematis vitalba","All states, particularly California, Michigan, New York, Oregon, Pennsylvania, and Washington",No,7/14/2015
,A,Cocadviroid coconut cadang-cadang viroid,CCCVd,Pathogen,High,81.8%,16.8%,1.3%,palms,,"Florida, Georgia, South Carolina, North Carolina, Hawaii, Puerto Rico, Guam, American Samoa, US Virgin Islands, Arizona, California, Texas, Alabama, Tennessee, Mississippi, Louisiana, New Mexico, Virginia",,9/12/2018
,A,Conopomorpha cramerella,Cocoa pod borer,Arthropod,High,82.0%,16.0%,2.0%,,,,No,8/1/2022
,A,Cronartium flaccidum,Scots pine blister rust,Pathogen,High,91.5%,8.0%,0.6%,pine,"polyphagous: Paeonia spp., Verbena spp., Impatiens spp., Veronica spp., Apocyum cannabium, Asclepisa spp., Caiophora lateritia, Castilleja miniata, Delphinium delavayi, Euphrasia spp., Grammatocarpus spp., Hyoscyamus niger, Loasa spp., Melampyrum spp., Nemesia spp., Nicotiana rustica, Pedicularis spp., Phtheirospermum japonicum, Physalis alkekengi, Rhinanthus spp., Ruellia spp, Saxifraga spp., Siphonostegia chinensis, Swertia fedtschenkoana, Tropaeolum spp., Vincetoxicum spp.",All states,No,8/30/2015
,A,Cydalima perspectalis,Box tree moth,Arthropod,High,85.0%,13.1%,1.9%,boxwood,,"Most states: Produced or naturalized along west coast, throughout eastern U.S., and in Hawaii, and grown almost everywhere.",No,6/19/2017
,A,Eurygaster integriceps,Sunn pest,Arthropod,High,76.0%,20.7%,3.3%,wheat and barley ,"Secale cereale (rye), Zea mays (maize), grasses (e.g., Agrotis, Avena, Bromos, Dactylis, Festuca, Lolium, and Poa spp.)",All states,No ,4/17/2015
,A,Fusarium oxysporum f. sp. cubense tropical race 4,Fusarium wilt of banana,Pathogen,High,93.7%,5.8%,0.4%,Banana,,"Hawaii, Florida, Puerto Rico, American Samoa, the Northern Mariana Islands, and Guam",No,10/15/2019
